,gender,age,sibsp,parch,fare,class,who,adult_male,embark_town,alive,alone,family_size
0,male,22,1,0,7.25,Third,man,TRUE,Southampton,no,FALSE,1
1,female,38,1,0,71.2833,First,woman,FALSE,Cherbourg,yes,FALSE,1
2,female,26,0,0,7.925,Third,woman,FALSE,Southampton,yes,TRUE,0
3,female,35,1,0,53.1,First,woman,FALSE,Southampton,yes,FALSE,1
4,male,35,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
5,male,31,0,0,8.4583,Third,man,TRUE,Queenstown,no,TRUE,0
6,male,54,0,0,51.8625,First,man,TRUE,Southampton,no,TRUE,0
7,male,2,3,1,21.075,Third,child,FALSE,Southampton,no,FALSE,4
8,female,27,0,2,11.1333,Third,woman,FALSE,Southampton,yes,FALSE,2
9,female,14,1,0,30.0708,Second,child,FALSE,Cherbourg,yes,FALSE,1
10,female,4,1,1,16.7,Third,child,FALSE,Southampton,yes,FALSE,2
11,female,58,0,0,26.55,First,woman,FALSE,Southampton,yes,TRUE,0
12,male,20,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
13,male,39,1,5,31.275,Third,man,TRUE,Southampton,no,FALSE,6
14,female,14,0,0,7.8542,Third,child,FALSE,Southampton,no,TRUE,0
15,female,55,0,0,16,Second,woman,FALSE,Southampton,yes,TRUE,0
16,male,2,4,1,29.125,Third,child,FALSE,Queenstown,no,FALSE,5
17,male,31,0,0,13,Second,man,TRUE,Southampton,yes,TRUE,0
18,female,31,1,0,18,Third,woman,FALSE,Southampton,no,FALSE,1
19,female,28,0,0,7.225,Third,woman,FALSE,Cherbourg,yes,TRUE,0
20,male,35,0,0,26,Second,man,TRUE,Southampton,no,TRUE,0
21,male,34,0,0,13,Second,man,TRUE,Southampton,yes,TRUE,0
22,female,15,0,0,8.0292,Third,child,FALSE,Queenstown,yes,TRUE,0
23,male,28,0,0,35.5,First,man,TRUE,Southampton,yes,TRUE,0
24,female,8,3,1,21.075,Third,child,FALSE,Southampton,no,FALSE,4
25,female,38,1,5,31.3875,Third,woman,FALSE,Southampton,yes,FALSE,6
26,male,31,0,0,7.225,Third,man,TRUE,Cherbourg,no,TRUE,0
27,male,19,3,2,263,First,man,TRUE,Southampton,no,FALSE,5
28,female,28,0,0,7.8792,Third,woman,FALSE,Queenstown,yes,TRUE,0
29,male,31,0,0,7.8958,Third,man,TRUE,Southampton,no,TRUE,0
30,male,40,0,0,27.7208,First,man,TRUE,Cherbourg,no,TRUE,0
31,female,28,1,0,146.5208,First,woman,FALSE,Cherbourg,yes,FALSE,1
32,female,28,0,0,7.75,Third,woman,FALSE,Queenstown,yes,TRUE,0
33,male,66,0,0,10.5,Second,man,TRUE,Southampton,no,TRUE,0
34,male,28,1,0,82.1708,First,man,TRUE,Cherbourg,no,FALSE,1
35,male,42,1,0,52,First,man,TRUE,Southampton,no,FALSE,1
36,male,31,0,0,7.2292,Third,man,TRUE,Cherbourg,yes,TRUE,0
37,male,21,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
38,female,18,2,0,18,Third,woman,FALSE,Southampton,no,FALSE,2
39,female,14,1,0,11.2417,Third,child,FALSE,Cherbourg,yes,FALSE,1
40,female,40,1,0,9.475,Third,woman,FALSE,Southampton,no,FALSE,1
41,female,27,1,0,21,Second,woman,FALSE,Southampton,no,FALSE,1
42,male,31,0,0,7.8958,Third,man,TRUE,Cherbourg,no,TRUE,0
43,female,3,1,2,41.5792,Second,child,FALSE,Cherbourg,yes,FALSE,3
44,female,19,0,0,7.8792,Third,woman,FALSE,Queenstown,yes,TRUE,0
45,male,31,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
46,male,31,1,0,15.5,Third,man,TRUE,Queenstown,no,FALSE,1
47,female,28,0,0,7.75,Third,woman,FALSE,Queenstown,yes,TRUE,0
48,male,31,2,0,21.6792,Third,man,TRUE,Cherbourg,no,FALSE,2
49,female,18,1,0,17.8,Third,woman,FALSE,Southampton,no,FALSE,1
50,male,7,4,1,39.6875,Third,child,FALSE,Southampton,no,FALSE,5
51,male,21,0,0,7.8,Third,man,TRUE,Southampton,no,TRUE,0
52,female,49,1,0,76.7292,First,woman,FALSE,Cherbourg,yes,FALSE,1
53,female,29,1,0,26,Second,woman,FALSE,Southampton,yes,FALSE,1
54,male,65,0,1,61.9792,First,man,TRUE,Cherbourg,no,FALSE,1
55,male,31,0,0,35.5,First,man,TRUE,Southampton,yes,TRUE,0
56,female,21,0,0,10.5,Second,woman,FALSE,Southampton,yes,TRUE,0
57,male,28.5,0,0,7.2292,Third,man,TRUE,Cherbourg,no,TRUE,0
58,female,5,1,2,27.75,Second,child,FALSE,Southampton,yes,FALSE,3
59,male,11,5,2,46.9,Third,child,FALSE,Southampton,no,FALSE,7
60,male,22,0,0,7.2292,Third,man,TRUE,Cherbourg,no,TRUE,0
61,female,38,0,0,80,First,woman,FALSE,Southampton,yes,TRUE,0
62,male,45,1,0,83.475,First,man,TRUE,Southampton,no,FALSE,1
63,male,4,3,2,27.9,Third,child,FALSE,Southampton,no,FALSE,5
64,male,31,0,0,27.7208,First,man,TRUE,Cherbourg,no,TRUE,0
65,male,31,1,1,15.2458,Third,man,TRUE,Cherbourg,yes,FALSE,2
66,female,29,0,0,10.5,Second,woman,FALSE,Southampton,yes,TRUE,0
67,male,19,0,0,8.1583,Third,man,TRUE,Southampton,no,TRUE,0
68,female,17,4,2,7.925,Third,woman,FALSE,Southampton,yes,FALSE,6
69,male,26,2,0,8.6625,Third,man,TRUE,Southampton,no,FALSE,2
70,male,32,0,0,10.5,Second,man,TRUE,Southampton,no,TRUE,0
71,female,16,5,2,46.9,Third,woman,FALSE,Southampton,no,FALSE,7
72,male,21,0,0,73.5,Second,man,TRUE,Southampton,no,TRUE,0
73,male,26,1,0,14.4542,Third,man,TRUE,Cherbourg,no,FALSE,1
74,male,32,0,0,56.4958,Third,man,TRUE,Southampton,yes,TRUE,0
75,male,25,0,0,7.65,Third,man,TRUE,Southampton,no,TRUE,0
76,male,31,0,0,7.8958,Third,man,TRUE,Southampton,no,TRUE,0
77,male,31,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
78,male,0.83,0,2,29,Second,child,FALSE,Southampton,yes,FALSE,2
79,female,30,0,0,12.475,Third,woman,FALSE,Southampton,yes,TRUE,0
80,male,22,0,0,9,Third,man,TRUE,Southampton,no,TRUE,0
81,male,29,0,0,9.5,Third,man,TRUE,Southampton,yes,TRUE,0
82,female,28,0,0,7.7875,Third,woman,FALSE,Queenstown,yes,TRUE,0
83,male,28,0,0,47.1,First,man,TRUE,Southampton,no,TRUE,0
84,female,17,0,0,10.5,Second,woman,FALSE,Southampton,yes,TRUE,0
85,female,33,3,0,15.85,Third,woman,FALSE,Southampton,yes,FALSE,3
86,male,16,1,3,34.375,Third,man,TRUE,Southampton,no,FALSE,4
87,male,31,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
88,female,23,3,2,263,First,woman,FALSE,Southampton,yes,FALSE,5
89,male,24,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
90,male,29,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
91,male,20,0,0,7.8542,Third,man,TRUE,Southampton,no,TRUE,0
92,male,46,1,0,61.175,First,man,TRUE,Southampton,no,FALSE,1
93,male,26,1,2,20.575,Third,man,TRUE,Southampton,no,FALSE,3
94,male,59,0,0,7.25,Third,man,TRUE,Southampton,no,TRUE,0
95,male,31,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
96,male,71,0,0,34.6542,First,man,TRUE,Cherbourg,no,TRUE,0
97,male,23,0,1,63.3583,First,man,TRUE,Cherbourg,yes,FALSE,1
98,female,34,0,1,23,Second,woman,FALSE,Southampton,yes,FALSE,1
99,male,34,1,0,26,Second,man,TRUE,Southampton,no,FALSE,1
100,female,28,0,0,7.8958,Third,woman,FALSE,Southampton,no,TRUE,0
101,male,31,0,0,7.8958,Third,man,TRUE,Southampton,no,TRUE,0
102,male,21,0,1,77.2875,First,man,TRUE,Southampton,no,FALSE,1
103,male,33,0,0,8.6542,Third,man,TRUE,Southampton,no,TRUE,0
104,male,37,2,0,7.925,Third,man,TRUE,Southampton,no,FALSE,2
105,male,28,0,0,7.8958,Third,man,TRUE,Southampton,no,TRUE,0
106,female,21,0,0,7.65,Third,woman,FALSE,Southampton,yes,TRUE,0
107,male,31,0,0,7.775,Third,man,TRUE,Southampton,yes,TRUE,0
108,male,38,0,0,7.8958,Third,man,TRUE,Southampton,no,TRUE,0
109,female,28,1,0,24.15,Third,woman,FALSE,Queenstown,yes,FALSE,1
110,male,47,0,0,52,First,man,TRUE,Southampton,no,TRUE,0
111,female,14.5,1,0,14.4542,Third,child,FALSE,Cherbourg,no,FALSE,1
112,male,22,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
113,female,20,1,0,9.825,Third,woman,FALSE,Southampton,no,FALSE,1
114,female,17,0,0,14.4583,Third,woman,FALSE,Cherbourg,no,TRUE,0
115,male,21,0,0,7.925,Third,man,TRUE,Southampton,no,TRUE,0
116,male,70.5,0,0,7.75,Third,man,TRUE,Queenstown,no,TRUE,0
117,male,29,1,0,21,Second,man,TRUE,Southampton,no,FALSE,1
118,male,24,0,1,247.5208,First,man,TRUE,Cherbourg,no,FALSE,1
119,female,2,4,2,31.275,Third,child,FALSE,Southampton,no,FALSE,6
120,male,21,2,0,73.5,Second,man,TRUE,Southampton,no,FALSE,2
121,male,31,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
122,male,32.5,1,0,30.0708,Second,man,TRUE,Cherbourg,no,FALSE,1
123,female,32.5,0,0,13,Second,woman,FALSE,Southampton,yes,TRUE,0
124,male,54,0,1,77.2875,First,man,TRUE,Southampton,no,FALSE,1
125,male,12,1,0,11.2417,Third,child,FALSE,Cherbourg,yes,FALSE,1
126,male,31,0,0,7.75,Third,man,TRUE,Queenstown,no,TRUE,0
127,male,24,0,0,7.1417,Third,man,TRUE,Southampton,yes,TRUE,0
128,female,28,1,1,22.3583,Third,woman,FALSE,Cherbourg,yes,FALSE,2
129,male,45,0,0,6.975,Third,man,TRUE,Southampton,no,TRUE,0
130,male,33,0,0,7.8958,Third,man,TRUE,Cherbourg,no,TRUE,0
131,male,20,0,0,7.05,Third,man,TRUE,Southampton,no,TRUE,0
132,female,47,1,0,14.5,Third,woman,FALSE,Southampton,no,FALSE,1
133,female,29,1,0,26,Second,woman,FALSE,Southampton,yes,FALSE,1
134,male,25,0,0,13,Second,man,TRUE,Southampton,no,TRUE,0
135,male,23,0,0,15.0458,Second,man,TRUE,Cherbourg,no,TRUE,0
136,female,19,0,2,26.2833,First,woman,FALSE,Southampton,yes,FALSE,2
137,male,37,1,0,53.1,First,man,TRUE,Southampton,no,FALSE,1
138,male,16,0,0,9.2167,Third,man,TRUE,Southampton,no,TRUE,0
139,male,24,0,0,79.2,First,man,TRUE,Cherbourg,no,TRUE,0
140,female,28,0,2,15.2458,Third,woman,FALSE,Cherbourg,no,FALSE,2
141,female,22,0,0,7.75,Third,woman,FALSE,Southampton,yes,TRUE,0
142,female,24,1,0,15.85,Third,woman,FALSE,Southampton,yes,FALSE,1
143,male,19,0,0,6.75,Third,man,TRUE,Queenstown,no,TRUE,0
144,male,18,0,0,11.5,Second,man,TRUE,Southampton,no,TRUE,0
145,male,19,1,1,36.75,Second,man,TRUE,Southampton,no,FALSE,2
146,male,27,0,0,7.7958,Third,man,TRUE,Southampton,yes,TRUE,0
147,female,9,2,2,34.375,Third,child,FALSE,Southampton,no,FALSE,4
148,male,36.5,0,2,26,Second,man,TRUE,Southampton,no,FALSE,2
149,male,42,0,0,13,Second,man,TRUE,Southampton,no,TRUE,0
150,male,51,0,0,12.525,Second,man,TRUE,Southampton,no,TRUE,0
151,female,22,1,0,66.6,First,woman,FALSE,Southampton,yes,FALSE,1
152,male,55.5,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
153,male,40.5,0,2,14.5,Third,man,TRUE,Southampton,no,FALSE,2
154,male,31,0,0,7.3125,Third,man,TRUE,Southampton,no,TRUE,0
155,male,51,0,1,61.3792,First,man,TRUE,Cherbourg,no,FALSE,1
156,female,16,0,0,7.7333,Third,woman,FALSE,Queenstown,yes,TRUE,0
157,male,30,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
158,male,31,0,0,8.6625,Third,man,TRUE,Southampton,no,TRUE,0
159,male,31,8,2,69.55,Third,man,TRUE,Southampton,no,FALSE,10
160,male,44,0,1,16.1,Third,man,TRUE,Southampton,no,FALSE,1
161,female,40,0,0,15.75,Second,woman,FALSE,Southampton,yes,TRUE,0
162,male,26,0,0,7.775,Third,man,TRUE,Southampton,no,TRUE,0
163,male,17,0,0,8.6625,Third,man,TRUE,Southampton,no,TRUE,0
164,male,1,4,1,39.6875,Third,child,FALSE,Southampton,no,FALSE,5
165,male,9,0,2,20.525,Third,child,FALSE,Southampton,yes,FALSE,2
166,female,28,0,1,55,First,woman,FALSE,Southampton,yes,FALSE,1
167,female,45,1,4,27.9,Third,woman,FALSE,Southampton,no,FALSE,5
168,male,31,0,0,25.925,First,man,TRUE,Southampton,no,TRUE,0
169,male,28,0,0,56.4958,Third,man,TRUE,Southampton,no,TRUE,0
170,male,61,0,0,33.5,First,man,TRUE,Southampton,no,TRUE,0
171,male,4,4,1,29.125,Third,child,FALSE,Queenstown,no,FALSE,5
172,female,1,1,1,11.1333,Third,child,FALSE,Southampton,yes,FALSE,2
173,male,21,0,0,7.925,Third,man,TRUE,Southampton,no,TRUE,0
174,male,56,0,0,30.6958,First,man,TRUE,Cherbourg,no,TRUE,0
175,male,18,1,1,7.8542,Third,man,TRUE,Southampton,no,FALSE,2
